cluster_id,reference_pid,reference_name,center_distance_m,predicted_area_m2,reference_area_m2,area_ratio_predicted_to_reference,intersection_area_m2,iou,predicted_area_precision,reference_area_recall
105,114,苍南2号锚地,9935.715429438322,270778313.5961429,224375504.0357952,1.206808714524135,146675592.18437645,0.42090317693737306,0.5416814597757572,0.6537059061535385
106,101,滨海锚地,8664.597721765811,412665578.6779296,338198689.30677253,1.2201868065301986,284334428.11451066,0.6094667560677867,0.6890190091100942,0.8407319043646476
112,22,高栏锚地,7292.099721110457,243570624.35295808,161556806.15889606,1.5076469394511236,129534991.44745217,0.4700237491536778,0.5318169700946493,0.8017922273113678
116,108,上海南港2号锚地,3714.589496180801,1360128125.0994139,311640974.61890507,4.3644072374073,311640974.618905,0.2291261895610951,0.22912618956109498,0.9999999999999998
123,171,靖海锚地,2848.599362746677,272314175.3123485,23146477.227123745,11.764821602884886,20790366.28148836,0.07569208364228022,0.07634698508677154,0.89820865946398
132,79,烟台2号锚地,1550.6346328086483,193003588.71934482,164538362.13311607,1.1730005466032267,145196109.65109584,0.6837718545822944,0.7522974604489454,0.8824453323148324
143,32,惠州锚地,1663.081370097831,637029148.9889977,546986594.4981935,1.1646156512727874,425124106.6837541,0.5601907915001504,0.6673542448700358,0.777211198518976
150,77,蓬莱2号锚地,2144.4494485471255,496125733.05632675,99407673.85245474,4.990819258005157,99407673.85245475,0.20036790520835318,0.20036790520835307,1.0000000000000002
151,38,广东陆丰甲湖湾电厂锚地,5150.60508478759,191370696.0561519,71947648.65931486,2.6598603237518823,66692615.05698464,0.33918559474806725,0.3484996210570072,0.9269603148920995
152,36,汕头华能海门电厂锚地,9880.189692527489,193951522.46267113,34363443.086407885,5.644123668718945,29179108.142119046,0.14652864894386047,0.1504453678507989,0.8491322615358223
161,175,揭阳2号锚地,8405.957942907522,183034536.5984555,9360766.293415522,19.553371044762034,6193887.663060661,0.033264449979875356,0.03383999423370533,0.661685963404248
162,43,福州2号锚地,1017.3349382435614,308676851.141242,130977545.32412475,2.3567158048150323,128437917.94883741,0.4126963924309548,0.416091836734682,0.980610207887141
163,81,威海锚地,2197.9979043971093,225603774.08915794,195618182.71892148,1.1532863200826375,162266468.62170893,0.626619152805624,0.7192542291317419,0.8295060631192207
171,147,马迹山3号锚地,2192.8293516594777,263253316.01813024,29495152.479255483,8.925307851969285,29495152.479255486,0.11204095327416183,0.11204095327416182,1.0000000000000002
180,88,乳山1号锚地,921.5467162792891,115147999.64640382,35881248.069961175,3.209141427351928,35746327.39849404,0.31007479078366595,0.3104381101561796,0.9962397999310374
199,76,蓬莱1号锚地,1944.590391753254,256365801.75757852,57138668.781497285,4.486730391601199,57138668.78149729,0.22287944955906425,0.22287944955906427,1.0000000000000002
206,113,宁德3号锚地,2198.2675812773386,163739501.40504986,61281511.98605186,2.6719233272559957,61085132.83652142,0.3726160046835111,0.3730628975436559,0.9967954584806077
207,90,海阳锚地,3904.314215664142,189416561.4919759,265570256.92745852,0.7132446369689499,119468075.99305207,0.35606975374636485,0.6307161055614083,0.44985487974161653
218,82,张家埠锚地,7175.234099170166,303021836.7306967,167150850.52070946,1.8128644621712724,166493560.8136734,0.5482548727227331,0.5494441014877767,0.9960676855368162
226,115,苍南1号锚地,4216.766628375515,248168473.4119028,100225992.24201556,2.47608896515238,100225992.24201556,0.40386271013427005,0.4038627101342699,1.0
257,46,海口1号锚地,4257.688682740203,117083798.34348167,64806277.602854595,1.8066737154846917,62341629.54124323,0.5214758653575068,0.5324530842290865,0.9619689920054474
266,148,马迹山4号锚地,3370.077404326923,270780844.03052616,29424687.009633478,9.202505499612418,29424687.00963348,0.10866605839487053,0.10866605839487052,1.0000000000000002
267,149,马迹山2号锚地,2626.528743656248,182075485.08963397,29249212.546180695,6.224970494578632,29249212.546180695,0.16064333170268136,0.1606433317026814,1.0
