cluster_id,reference_pid,reference_name,center_distance_m,predicted_area_m2,reference_area_m2,area_ratio_predicted_to_reference,intersection_area_m2,iou,predicted_area_precision,reference_area_recall
1,95,日照锚地,6797.80217674539,791306793.0507239,915804823.433296,0.8640561534543609,704518771.8941146,0.7026967883281523,0.8903231693209462,0.7692892130147525
2,18,京唐锚地,9959.13957937581,1496239990.1678486,1585293952.1009362,0.9438249532113162,1385861203.0081592,0.8172928483903434,0.9262292226614615,0.8741982527414076
16,63,鲅鱼圈1号锚地,3461.4978955216898,2693678415.057531,21562587.510994196,124.92370935000704,21562587.510994192,0.008004885583394204,0.00800488558339421,0.9999999999999998
22,117,温州2号锚地,4152.987307905187,604545511.6853356,63195409.85537338,9.566288328042742,44953905.03001196,0.07218182755619464,0.07435983587851092,0.7113476300397729
29,87,石岛锚地,3216.761814354465,2619495717.9020586,711248553.5790546,3.6829540175801627,711050366.3231612,0.2714249801945046,0.2714455158157838,0.9997213530278606
32,35,汕头1号锚地,835.486721339614,557585972.4075571,83081774.13021065,6.711291113423692,81328040.27055272,0.14540008399063947,0.1458574001053016,0.9788914731537945
47,103,大丰2号锚地,4436.258536584274,442231316.8611854,250103925.49107146,1.7681902272940244,229778165.7950513,0.49675635168157245,0.5195881816465244,0.9187307450048569
58,92,青岛1号锚地,2840.8957254170805,270879520.8113976,194543825.30790547,1.3923830292874897,181440733.5387434,0.6389149388055408,0.6698207859909543,0.9326470950778123
62,178,鼠浪湖5号锚地,7674.803681903503,760962902.3989592,89458513.36315617,8.50632179980273,79062240.11945866,0.10249730944548377,0.10389762742731938,0.8837866531327889
69,54,绥中1号锚地,3723.1830955497753,354699819.2069352,279712752.88805664,1.268085975861419,232139824.55202433,0.5770707212206245,0.6544684039339523,0.8299222046730512
70,126,台州3号锚地,9989.655585570898,313972433.7967433,50896786.579157986,6.168806616276903,50896786.57915797,0.1621059083553402,0.16210590835534017,0.9999999999999997
72,51,宁德2号锚地,1194.9004839837203,64098626.794599496,36915136.61385882,1.7363778838227393,23916274.231583573,0.3102082115374232,0.37311679559410765,0.6478717519524182
77,124,台州2号锚地,6111.99682715528,511010578.33566034,17296065.86724496,29.544902422197918,17296065.86724496,0.033846786349467584,0.03384678634946758,1.0
78,133,舟山3号锚地,7527.558287222561,890773885.6968089,203549093.02070025,4.376211519676093,203442516.31558147,0.22836118301110236,0.2283885053011386,0.999476407860447
80,165,水东1号锚地,6812.558305521768,338649996.0681105,77149106.47726175,4.389551759331409,77149106.47726175,0.22781369370441465,0.22781369370441465,1.0
87,56,锦州1号锚地,6819.032376916852,239641806.25449756,448553370.1530733,0.5342548338734305,209657867.0222955,0.438122300832978,0.8748801817978313,0.46740896618555705
88,45,海口2号锚地,4749.475564693829,146697177.7179653,113865306.08457084,1.2883395545348058,102611492.42451032,0.6496413319681418,0.6994782995879271,0.9011655608978734
93,33,汕尾红海湾电厂锚地,9271.444543128473,563261101.2853994,75789529.39601015,7.431911845530626,73062537.50178473,0.12908847090993106,0.129713444324579,0.9640188834004163
99,74,龙口1号锚地,4832.139337526193,392166644.163111,336384798.13131315,1.1658274878700745,235189474.69729018,0.47670775240895524,0.5997182019373111,0.6991679647945335
101,29,防城锚地,9457.86554736112,696603561.0853378,368127053.35829353,1.8922911389708217,353336653.7272452,0.4966821103899021,0.5072277454004568,0.9598225680614323
