prediction_index,reference_index,overlap_area_m2
0,72,704518771.8941146
1,2,1385861203.0081592
2,4,400161749.1148222
2,1,920374297.879108
3,4,650568011.3769866
4,42,247517572.09445712
5,3,963594813.4210635
5,41,7795578.143571038
6,42,418342064.7713254
7,44,39010658.81806781
7,43,21562587.510994192
7,39,1437585131.461417
7,34,139898292.4357182
9,90,319480772.00448114
9,89,44953905.03001196
10,27,270555738.1628633
11,64,711050366.3231612
13,30,24842830.41638628
13,31,477362257.1329907
14,18,81328040.27055272
14,126,16587058.158381198
16,13,368297733.9194159
17,25,297768423.3736038
19,71,305852978.438467
20,22,8763808.265827771
20,23,526745154.1783193
21,79,229778165.7950513
23,27,167358389.30777165
24,76,84024855.4044659
26,69,181440733.5387434
28,45,395662146.5569257
29,101,120463700.7744112
29,133,79062240.11945866
29,132,17962215.516143948
29,103,30774759.811091367
29,104,6643640.8100786265
30,17,42303338.7548189
32,35,232139824.55202433
33,96,50896786.57915797
34,32,23916274.231583573
36,92,200762360.4684932
36,95,17296065.86724496
37,99,203442516.31558147
39,122,1305943.3192834733
39,121,77149106.47726175
39,123,84529851.03294475
40,14,274564469.58196235
42,37,209657867.0222955
42,33,21255693.368495625
43,28,102611492.42451032
45,16,73062537.50178473
47,52,235189474.69729018
48,11,59926387.852265574
48,12,353336653.7272452
50,87,146675592.18437645
51,77,284334428.11451066
52,6,129534991.44745217
54,83,311640974.618905
54,102,53475700.839756936
56,127,20790366.28148836
56,19,18315909.445763893
57,38,15859350.119414983
57,0,4735676.054381434
58,94,23250.225435943492
59,57,145196109.65109584
64,15,425124106.6837541
66,56,348582.2736905694
66,55,99407673.85245475
67,21,66692615.05698464
68,19,29179108.142119046
69,130,6193887.663060661
70,26,128437917.94883741
71,59,162266468.62170893
74,98,510065460.5841259
76,110,29495152.479255486
79,65,35746327.39849404
81,54,57138668.78149729
83,86,61085132.83652142
84,67,119468075.99305207
86,60,166493560.8136734
87,67,85988613.4956168
88,88,100225992.24201556
90,56,167345034.3561929
92,125,37610.62355427938
94,29,62341629.54124323
97,111,29424687.00963348
98,112,29249212.546180695
