cluster_id,lat,lon,count,type,polygon,distance_to_coast
0,35.28385725721925,119.6703211425611,195,anchorage,"POLYGON ((119.77575752173914 35.1962198173913, 119.7249668283582 35.21051432835821, 119.62844432682927 35.24796108292683, 119.59321396825396 35.26527098412698, 119.63462674683544 35.335914525316454, 119.64162558000001 35.347845533333334, 119.65178572 35.36376796, 119.65861008333334 35.37100643055555, 119.72821196874999 35.33246636458333, 119.75235289873419 35.30588856962025, 119.76561881666666 35.279369116666665, 119.77575752173914 35.1962198173913))",18592.434685943936
1,39.14008433722095,119.15102698736251,487,anchorage,"POLYGON ((119.18111373913042 38.97915458152174, 119.10073971874999 38.984860822916666, 119.09257914999999 38.99735145, 119.06759491911764 39.05240555147059, 119.08325802739726 39.175312863013694, 119.1347899030733 39.202837371158395, 119.2973632909091 39.20794110303031, 119.3293155 39.192986, 119.35089711842106 39.178577276315785, 119.18634336666668 38.98319481, 119.18169218106996 38.97918144444445, 119.18111373913042 38.97915458152174))",16209.9151536178
7,39.20824626816053,118.99865744368071,107,anchorage,"POLYGON ((118.98188268367346 39.19919808163265, 118.97929754545456 39.20002849494949, 118.97927755905512 39.20014429133858, 118.9798752295082 39.205171786885245, 118.99462533653846 39.21568344230769, 118.99491702173913 39.21572143478261, 118.9960734 39.2158243, 118.9962207080292 39.21583377372263, 119.03658746938775 39.217367959183676, 119.014604953125 39.201925578125, 119.0130472112676 39.2011611971831, 118.98188268367346 39.19919808163265))",3131.008929531962
9,38.91993086358447,118.27570245401235,1062,anchorage,"POLYGON ((118.04970375384616 38.792677815384614, 118.03572701574802 38.79367512598425, 118.02951475221238 38.7945793539823, 118.02352799206349 38.80275026190476, 117.97260848611111 38.90108268055556, 117.95222424509804 38.965974627450976, 117.95719665714286 38.97383251428572, 117.97532810077519 38.98974287596899, 118.06429325490197 39.0025196127451, 118.36221455357143 39.04134348214286, 118.36662879982285 39.04057162090346, 118.45504462068965 39.00477813793104, 118.46852396855346 38.98684544654088, 118.48787767391305 38.94761561956522, 118.45878637931035 38.88656981034483, 118.4510606557377 38.87136126229508, 118.4480147536232 38.86975484057971, 118.04970375384616 38.792677815384614))",16855.404099048712
10,38.90258265677712,118.66703438676036,480,anchorage,"POLYGON ((118.70698488235294 38.83842489705882, 118.61706428571428 38.847312274725276, 118.58782414746544 38.85227180645162, 118.57053392548076 38.85690103605769, 118.5625752875 38.8595200375, 118.55959830508475 38.86054545762712, 118.55907750000001 38.86073221621621, 118.55347983653846 38.86722425, 118.55399889589042 38.87572480547945, 118.55869698333332 38.90156540833333, 118.64165820895522 38.938864194029854, 118.65257392356689 38.941736675159234, 118.71078890109891 38.94734174725275, 118.79727183870968 38.92500370967742, 118.82101044000001 38.88262373333334, 118.80092069999999 38.85049927777778, 118.70980253488372 38.83873169767442, 118.70698488235294 38.83842489705882))",12833.864248900878
11,39.54192165279104,121.05514281443986,14,anchorage,"POLYGON ((121.0417325076923 39.515428, 121.03571206593408 39.570569175824176, 121.06528207843138 39.55014647058823, 121.068252896 39.522409752, 121.0417325076923 39.515428))",18828.195667597203
13,39.853584129830324,119.706183631602,278,anchorage,"POLYGON ((119.64993071698115 39.71390042138365, 119.5975155047619 39.76298457142857, 119.59401392391304 39.78802058695652, 119.58603378947369 39.91030948872181, 119.67137628787879 39.93321975757576, 119.71540637820512 39.939218102564105, 119.88130092857143 39.84346166071429, 119.86401860000001 39.79133788717949, 119.81470611111112 39.762719470085464, 119.68257223033707 39.722576247191014, 119.64993071698115 39.71390042138365))",11766.774633127474
14,39.34626748116948,121.19005225770806,158,anchorage,"POLYGON ((121.1754414054054 39.32119410810811, 121.04486077631579 39.33583792105263, 121.11359198245614 39.369580105263154, 121.19807422292995 39.40319226751592, 121.29131959060403 39.35300022147651, 121.25414304385964 39.32858578070176, 121.1754414054054 39.32119410810811))",10105.118432301804
16,40.31148035912762,121.93361269729468,521,anchorage,"POLYGON ((121.53737664761904 40.133864466666665, 121.52192565789473 40.13824181578948, 121.5813938148148 40.32226685185186, 121.67954809523809 40.38016305952381, 121.82786553097345 40.42988262831859, 121.85291573255815 40.435801453488374, 122.13676134939759 40.33365198795181, 122.09472840384615 40.247527769230764, 122.09404746551724 40.247160413793104, 121.59115481250001 40.1388392, 121.53737664761904 40.133864466666665))",19204.015776243272
20,31.431763845654768,121.52835872546387,557,anchorage,"POLYGON ((121.7379855510204 31.278005061224487, 121.56722206779662 31.286132508474576, 121.56719930612245 31.28613793877551, 121.22313641584158 31.643740356435647, 121.23492930232558 31.662122984496126, 121.26630102941175 31.66527922058824, 121.70148983475782 31.371425710826212, 121.72546907272728 31.348126127272728, 121.73172713432835 31.33722785074627, 121.7583258653846 31.283075865384617, 121.75682396721311 31.278539032786885, 121.7379855510204 31.278005061224487))",5784.536007155127
22,27.931659198432968,121.19757139488304,126,anchorage,"POLYGON ((121.31715002877698 27.862214244604317, 121.24399274074074 27.867347555555554, 121.11679 27.899737651515153, 121.110919625 27.940778024999997, 121.15376743859649 27.956442561403506, 121.15435217977527 27.956440640449436, 121.19427152112675 27.95563543661972, 121.29660346551724 27.92093822413793, 121.3314672745098 27.892707901960787, 121.335681984375 27.863372109375, 121.31715002877698 27.862214244604317))",7241.732572295374
26,38.98037963539988,121.75664730744683,147,anchorage,"POLYGON ((121.84745824590165 38.94805642622951, 121.65524606779661 38.96652123728814, 121.69867389855072 39.0178591884058, 121.74584932727272 39.023767672727274, 121.85934752702704 39.017206554054056, 121.89321578888888 38.996231622222226, 121.89870992 38.9771566, 121.84745824590165 38.94805642622951))",3624.106401156351
28,26.247662675404285,119.85811482866079,191,anchorage,"POLYGON ((119.84168540677966 26.174287101694915, 119.82958223728814 26.177769932203393, 119.80509296969697 26.188104939393938, 119.77707619 26.23501524, 119.79308267708332 26.264384979166667, 119.79346133846154 26.26494013846154, 119.85548924237429 26.326311408903546, 119.86121430187143 26.32443662815297, 119.87465144847329 26.319899797709922, 119.95205909090909 26.256950506493506, 119.9453686484375 26.2407753515625, 119.93509945263158 26.228832252631577, 119.91715212745098 26.21023685294118, 119.86934924175823 26.182450164835164, 119.84168540677966 26.174287101694915))",7911.089307598252
29,36.77323288140926,122.48487053169545,279,anchorage,"POLYGON ((122.57394972881356 36.56024494915254, 122.41612609375 36.5787495625, 122.37771578947367 36.591525092105265, 122.29133482178217 36.66675497029703, 122.28915718032786 36.67998186885246, 122.37468011926606 36.86496190825688, 122.4387579423077 36.88748899038462, 122.6392871 36.921090125, 122.66900035169492 36.89465105508474, 122.6939164883721 36.819966860465115, 122.7075934375 36.76667815625, 122.70203234042555 36.62289434042553, 122.57394972881356 36.56024494915254))",14055.734657432999
30,32.009606444644014,120.39444283295173,93,anchorage,"POLYGON ((120.32887103448276 31.95653924137931, 120.32907994736843 31.981475905263157, 120.33592783870968 31.992972725806453, 120.39835815555556 32.041695044444445, 120.46172521794873 32.07426988461538, 120.49213112499999 32.076083430555556, 120.49510181967214 32.076016459016394, 120.50885427659576 32.068322829787235, 120.4498318955224 31.98007067910448, 120.44913343548387 31.979306741935485, 120.43678950793651 31.970825904761902, 120.43497418918919 31.97019964864865, 120.43225392045453 31.96945665909091, 120.42792532978723 31.968454702127662, 120.42668915094339 31.96826588679245, 120.35549872340427 31.958779808510638, 120.32887103448276 31.95653924137931))",3487.2673564789293
31,31.763361269932876,121.07672342384839,174,anchorage,"POLYGON ((121.15051936923076 31.690444599999996, 120.90146142105263 31.78304938596491, 120.88513724074073 31.921093370370368, 120.88643822222224 31.925970098039215, 120.89502614999999 31.921460233333335, 121.18163646987952 31.758568831325302, 121.18748412903227 31.75455812365591, 121.19768479452055 31.743664438356163, 121.21561261734695 31.715336596938776, 121.17349998305085 31.69557711864407, 121.15051936923076 31.690444599999996))",5157.43061600392
32,26.468616246201304,120.0328782878629,89,anchorage,"POLYGON ((120.0558815 26.398691515151516, 120.00325331707319 26.422861512195123, 120.00166592592592 26.451311207407407, 120.00165660439559 26.469705164835165, 120.00184789814814 26.480111851851852, 120.00237687837839 26.480657702702704, 120.08332100826446 26.561382917355374, 120.08783754545455 26.563818090909088, 120.11754616666667 26.528317819444442, 120.11978271014493 26.41944443478261, 120.0558815 26.398691515151516))",15117.299127374718
33,23.261677595558396,116.85412173777218,67,anchorage,"POLYGON ((116.85180619018405 23.242454263803683, 116.84457462068966 23.24327782758621, 116.83542315625 23.247012453125, 116.83279072602741 23.249560273972605, 116.83479027631579 23.26554906578947, 116.8528903627451 23.28949485294118, 116.92512497345133 23.3275202920354, 116.92134001136364 23.283734227272728, 116.87807180392157 23.256316725490198, 116.85718806060606 23.243449015151516, 116.85180619018405 23.242454263803683))",6301.129881190049
34,23.456471967693453,116.49656812115546,75,anchorage,"POLYGON ((116.49843958441559 23.44005818831169, 116.464824 23.455388607476635, 116.46486194117648 23.455651779411763, 116.48794314814815 23.495946407407406, 116.50726024285714 23.444060257142855, 116.50667430303031 23.44375409090909, 116.49843958441559 23.44005818831169))",5476.319854230527
35,22.141539236800377,113.77378293178552,26,anchorage,"POLYGON ((113.79021569565217 22.125654704347827, 113.76871769736842 22.12834438157895, 113.75956129824561 22.14902636842105, 113.76484360526315 22.15478905263158, 113.77055005882352 22.156180294117647, 113.77833931250001 22.15718989583333, 113.78461843548388 22.15003885483871, 113.79021569565217 22.125654704347827))",16962.262670436372
36,21.059281223962447,110.73108690557446,163,anchorage,"POLYGON ((110.7292401902174 20.992793652173912, 110.66607655172415 21.005024637931037, 110.67707133628319 21.072880517699115, 110.67921999475065 21.078883732283465, 110.68562154867257 21.082019371681415, 110.69775956410257 21.086018, 110.72180662204724 21.090145677165353, 110.81094772151899 21.084152069620252, 110.83897782513662 21.069504590163934, 110.81744042592592 21.05281337962963, 110.74721381699345 21.001476673202614, 110.7292401902174 20.992793652173912))",17490.444026861373
37,24.988720985168793,119.09168553638561,56,anchorage,"POLYGON ((119.16393245454545 24.927008909090908, 119.08452733766235 24.95310225974026, 119.03676253125 25.015413854166667, 119.06470207017543 25.105010640350876, 119.0679690652174 25.10297282608696, 119.14033027272727 24.983701151515152, 119.16393245454545 24.927008909090908))",8949.400211703476
38,26.45995571011606,119.93932869227707,426,anchorage,"POLYGON ((119.94698452659576 26.39679529787234, 119.94607681081082 26.397128554054053, 119.92981294565217 26.40339658695652, 119.86819494444444 26.46000275925926, 119.84044091304348 26.508125458937197, 119.99865065546219 26.48199631932773, 119.99967443636363 26.47926027272727, 119.99965792 26.468542760000002, 119.99889609433963 26.436621320754718, 119.9937380909091 26.415029136363636, 119.94698452659576 26.39679529787234))",9968.93090794899
41,35.47197782383453,119.88420088879793,150,anchorage,"POLYGON ((119.89924227272726 35.445258350649354, 119.87617465079364 35.45571673015873, 119.85650136231882 35.47096478260869, 119.85408598630136 35.4747654520548, 119.85307659016394 35.477427786885244, 119.85301008163266 35.482067479591834, 119.8789183041237 35.49710197938144, 119.88770835172414 35.50044483448276, 119.93694060493827 35.50434516049383, 119.92233783794465 35.468683909090906, 119.89924227272726 35.445258350649354))",18542.663114496903
44,34.41250864261928,119.77361823480884,89,anchorage,"POLYGON ((119.70289846376811 34.28506391304348, 119.78441748192772 34.47339573493976, 119.7852466969697 34.47436113636364, 119.7875052 34.476920569230764, 119.78880154237288 34.47834810169491, 119.78892530645162 34.47844293548387, 119.7999911392405 34.48662820253165, 119.8001623611111 34.38225416666667, 119.74866885106384 34.32579006382979, 119.72926685964912 34.30537945614035, 119.71121521276596 34.291164574468084, 119.70301077941177 34.285094058823525, 119.70289846376811 34.28506391304348))",9513.542288050588
