port_id,lat,lon,berth_count,polygon
0,36.02632722224567,120.22508863504545,4,"POLYGON ((120.21764352371665 36.02266901741095, 120.21764352371665 36.02593017922653, 120.22010618633472 36.02844474066234, 120.22559284498857 36.03004666645187, 120.22958112540614 36.03004666645187, 120.23282061457022 36.02782913915922, 120.23282061457022 36.02494998277566, 120.22170118973361 36.02266901741095, 120.21764352371665 36.02266901741095))"
1,29.97004041498802,121.73294709917006,4,"POLYGON ((121.72432969915523 29.96398285550484, 121.72432969915523 29.967033932206732, 121.72836850867905 29.972017658418594, 121.73522146106 29.975441291228858, 121.74137804443447 29.975441291228858, 121.74137804443447 29.970494687348488, 121.7280794675114 29.96398285550484, 121.72432969915523 29.96398285550484))"
2,39.20661452073455,118.99827060990297,16,"POLYGON ((118.97895321212927 39.19766922091847, 118.97741536582191 39.19875865624529, 118.97715570748856 39.2035947133479, 118.97715570748856 39.20810118253987, 118.99255652161902 39.2172441073523, 119.00054864528921 39.2172441073523, 119.02197534251141 39.20961452472781, 119.02197534251141 39.20579766167513, 119.01606840229401 39.200050590314156, 118.98985140751142 39.19766922091847, 118.97895321212927 39.19766922091847))"
3,34.47578433607254,119.78656495495494,1,"POLYGON ((119.78267169915523 34.47190564311903, 119.78267169915523 34.47966302902606, 119.79045821075465 34.47966302902606, 119.79045821075465 34.47190564311903, 119.78267169915523 34.47190564311903))"
4,34.5889523225279,119.6089719866175,3,"POLYGON ((119.61044963248857 34.58621960510032, 119.60413712020785 34.58879501302613, 119.60413712020785 34.59165141867737, 119.6076787175114 34.59165141867737, 119.61378021751139 34.58911133118952, 119.61378021751139 34.58621960510032, 119.61044963248857 34.58621960510032))"
5,38.963919789898405,118.4576877403245,17,"POLYGON ((118.46185059131211 38.94301591841138, 118.45226753248859 38.94837871037773, 118.45226753248859 38.951064955709505, 118.4531253658219 38.991852132768344, 118.4569812175114 38.991852132768344, 118.46582284075083 38.946260438970675, 118.46582284075083 38.94301591841138, 118.46185059131211 38.94301591841138))"
6,39.577207094033284,121.2611857453223,2,"POLYGON ((121.25728070941165 39.57375364430859, 121.25640510748858 39.57867278275492, 121.25640510748858 39.58120736172629, 121.25970941912429 39.58120736172629, 121.26628830084474 39.5789584383641, 121.26628830084474 39.57375364430859, 121.25728070941165 39.57375364430859))"
7,39.58684731817913,121.28946445710619,2,"POLYGON ((121.28549334201237 39.5826268546174, 121.28549334201237 39.5893486690999, 121.28801960391712 39.59167149118874, 121.29128983809964 39.59167149118874, 121.29341719795349 39.5893486690999, 121.29337882790567 39.5826268546174, 121.28549334201237 39.5826268546174))"
8,39.21563306017961,119.03325243053725,4,"POLYGON ((119.02770040285894 39.21230328170553, 119.02770040285894 39.214868948838934, 119.02977400809837 39.21631856583111, 119.03440069915527 39.21889663887715, 119.03866458655902 39.21889663887715, 119.03866458655902 39.215875984339334, 119.0361339675114 39.214525210237966, 119.03126985881575 39.21230328170553, 119.02770040285894 39.21230328170553))"
9,39.92445038471466,119.67263222462284,10,"POLYGON ((119.67499780713646 39.912534507039496, 119.66395342137746 39.92740369299048, 119.66395342137746 39.9310539300171, 119.66952348901032 39.93455936651636, 119.6731197452892 39.93455936651636, 119.6780418925114 39.92863182389069, 119.67931696751141 39.91889072439087, 119.67931696751141 39.912534507039496, 119.67499780713646 39.912534507039496))"
10,38.97696750507923,117.7732030470321,18,"POLYGON ((117.78639261582191 38.965860552404195, 117.77951075471081 38.966281935616514, 117.76720235506922 38.96901591820519, 117.75934193444938 38.9708644231106, 117.75069934018087 38.972900688011705, 117.75069934018087 38.975869082645076, 117.75624808703402 38.98392106644622, 117.77767162072388 38.988456117176675, 117.78099571751143 38.988456117176675, 117.78604952751141 38.985231173186165, 117.79073028001142 38.98064573217043, 117.79074324148401 38.96859003858935, 117.79074324148401 38.965860552404195, 117.78639261582191 38.965860552404195))"
11,31.6417508389239,121.22541851293101,1,"POLYGON ((121.22379978248856 31.64037264276621, 121.22379978248856 31.643129035081603, 121.22703724337347 31.643129035081603, 121.22703724337347 31.64037264276621, 121.22379978248856 31.64037264276621))"
12,40.253872617746204,122.08791042922383,4,"POLYGON ((122.08014665748857 40.24568209612711, 122.08014665748857 40.26259345804216, 122.09329596751141 40.26259345804216, 122.09625295435353 40.25478384612393, 122.09638735640029 40.25236296527063, 122.09638735640029 40.2487902837528, 122.09633663417807 40.24586700276061, 122.09329596751141 40.24568209612711, 122.08014665748857 40.24568209612711))"
13,38.96549747430375,118.47355993499991,1,"POLYGON ((118.46745821533224 38.95961459631441, 118.46926121189085 38.971844919510836, 118.47882359517098 38.971602870830004, 118.47882359517098 38.95961459631441, 118.46745821533224 38.95961459631441))"
14,29.971071618086604,122.15101591457287,1,"POLYGON ((122.14861503248858 29.96889573623509, 122.14861503248858 29.97324749993813, 122.15341679665715 29.97324749993813, 122.15341679665715 29.96889573623509, 122.14861503248858 29.96889573623509))"
