terminal_id,reference_pid,reference_name,center_distance_m,predicted_area_m2,reference_area_m2,area_ratio_predicted_to_reference,intersection_area_m2,iou,predicted_area_precision,reference_area_recall
0,"1,840",青岛前港散货码头,327.53236172480695,11707612.758090748,4460970.320687552,2.6244543039879042,2992441.706107648,0.2271106252938689,0.25559794024103416,0.6708051143560253
2,"2,015",陈家港码头,277.39959847854743,2295382.6453671837,583794.2057354134,3.931835264578653,583794.2057354134,0.25433415509771184,0.25433415509771184,1.0
5,"1,748",连云港燕尾,168.13668804931623,2843227.859354406,854612.4829552807,3.3269205822063608,854602.2601567039,0.30057358387292493,0.3005746645823712,0.999988038088864
6,"1,823",响水小蟒牛作业区（一期）,145.16355331506668,2241606.5463729547,517478.9856893501,4.331782755171864,517478.9856893501,0.23085183549568955,0.23085183549568955,1.0
8,"1,928",国投煤码头,661.9542525121469,6903090.7652777145,2272103.735630203,3.038193484314234,2022042.1438129735,0.28267846718061107,0.29291837708172247,0.8899427046855891
9,"1,927",秦港码头,486.4874719735761,3449830.534332902,976087.8767830608,3.5343442085385512,928880.3024140655,0.26561915356389015,0.26925389324774013,0.9516359382266076
10,"1,925",弘毅码头,791.4377581143531,3989748.4742759815,1454475.98342194,2.743083089546323,1305785.1093017126,0.31552597473918526,0.3272850701543718,0.8977701414014394
11,"1,926",华电煤码头,1135.4772569467323,3030226.3136150674,969043.7444272398,3.1270273721297324,904153.9148689664,0.2921227744112896,0.29837834580424744,0.9330372545806723
14,"1,985",京唐港码头,389.84594898496306,3252345.554695333,154085215.56765884,0.021107447218174074,3252345.554695333,0.021107447218174074,1.0,0.021107447218174074
15,"1,949",秦皇岛9公司,615.5487887332569,9635457.417996189,1039850.1445511259,9.26619808487457,1039850.144551126,0.1079191261443378,0.1079191261443378,1.0000000000000002
16,"1,924",华能煤码头,321.3346737060701,2640118.32384806,1503259.9418955664,1.7562620078327562,1193317.7641627276,0.40450620030444945,0.4519940463969158,0.7938199714534994
17,"1,894",天津南疆石油化工码头,36.277846188814564,11017074.8401825,857431.0976430661,12.848933133480447,857431.0976430661,0.07782747327046954,0.07782747327046954,1.0
18,"1,896",华能煤码头,870.8901221800336,6397130.9501254335,1142302.882294706,5.600205557806707,1109964.0698012789,0.17263695308976254,0.17350966838962628,0.9716898092487838
19,"1,094",天津港集装箱码头,742.1113911930682,3209248.788915026,4021138.398645458,0.7980945868453766,1646429.509259601,0.29484992618364286,0.5130264487273426,0.4094436316377993
20,"1,914",鲅鱼圈钢产品码头,772.616924254794,7034975.134359473,3900713.1400869144,1.803509994637217,3900713.1400869144,0.554474332259608,0.554474332259608,1.0
21,"1,877",首钢京唐码头,283.2297634960797,4845981.2292684615,1060592.47187569,4.569126556874571,1060592.47187569,0.21886021049152818,0.21886021049152818,1.0
22,"1,555",中化兴中石油中转码头,1975.8339631482183,1633032.5011947174,12210799.742174063,0.13373673597761954,356813.6222180942,0.02645607841443401,0.21849756324938502,0.02922115092803623
