reference_index,overlapping_prediction_count,reference_area_m2,overlap_area_m2,reference_area_recall
0,1,1935881405.3406794,53608734.25775021,0.02769215826437264
1,2,1271090548.9224901,1050385419.9332386,0.8263655337722837
2,1,1585293952.1009362,1580267133.1484761,0.9968290934650964
3,1,1279803140.0520093,1177120775.8752165,0.9197670634152219
4,2,2542996482.0319,1321175560.9454625,0.5195349542480764
5,0,202549403.90524638,0.0,0.0
6,2,161556806.15889606,154512483.03119677,0.9563972370141375
7,0,301552083.2322854,0.0,0.0
8,0,97552671.99717508,0.0,0.0
9,0,66667785.03758618,0.0,0.0
10,0,245874004.7869356,0.0,0.0
11,1,1268813897.196273,145840962.87007996,0.11494275337963121
12,1,368127053.35829353,368127053.3582935,0.9999999999999999
13,3,1052513543.8776848,517554518.4466637,0.49173193205655313
14,1,307148192.4344733,295468365.5324267,0.96197331714873
15,1,546986594.4981935,495554636.96408874,0.9059721791147578
16,1,75789529.39601015,75789529.39601012,0.9999999999999996
17,1,299885389.43400425,95488195.31795828,0.3184156303785929
18,1,83081774.13021065,81328040.27055271,0.9788914731537944
19,2,34363443.086407885,34363443.08640789,1.0000000000000002
20,0,330910867.4317929,0.0,0.0
21,1,71947648.65931486,71947648.65931484,0.9999999999999998
22,1,47410014.80936243,11200541.014012769,0.23624841837849228
23,1,1161361913.7543166,692626594.4146519,0.5963916899733768
24,0,321321955.8759743,0.0,0.0
25,1,392859778.2231247,353925493.70907426,0.9008952133248477
26,1,130977545.32412475,130977545.32412472,0.9999999999999998
27,2,859838494.9647232,616216202.92227,0.7166650557411386
28,1,113865306.08457084,106683421.11003198,0.936926486025474
29,1,64806277.602854595,63465594.95721856,0.9793124571379952
30,1,72695160.73780307,61006321.06827813,0.8392074582284197
31,1,644680829.545892,546032001.5786066,0.8469803607518889
32,1,36915136.61385882,23916274.231583573,0.6478717519524182
33,1,33392294.70710215,30635138.13413074,0.9174313536354542
34,1,2535040010.050139,293340607.73656446,0.11571438974281224
35,1,279712752.88805664,276075372.1478525,0.9869960139369839
36,0,113898469.11272201,0.0,0.0
37,1,448553370.1530733,319427289.90849805,0.7121277225037688
38,1,841123156.2852904,79385375.06188366,0.09438020397925877
39,1,1528849147.2431397,1522828005.7660656,0.9960616510216644
40,1,274247623.585739,12731744.197734995,0.04642426443398013
41,1,34148119.07766042,33732080.26448572,0.987816640435494
42,2,1237748640.725205,1012708825.7901518,0.818186174857602
43,1,21562587.510994196,21562587.510994192,0.9999999999999998
44,1,39010658.81806781,39010658.81806781,1.0
45,1,1479676775.409822,517314427.78514487,0.34961312928755384
46,0,808988970.7526113,0.0,0.0
47,0,347587562.5040219,0.0,0.0
48,0,942638919.6873122,0.0,0.0
49,0,765828913.6869366,0.0,0.0
50,0,157812148.64048582,0.0,0.0
51,0,462900143.22380656,0.0,0.0
52,2,336384798.13131315,325284844.45681655,0.9670022137261877
53,0,172965911.4387699,0.0,0.0
54,1,57138668.781497285,57138668.78149729,1.0000000000000002
55,1,99407673.85245474,99407673.85245475,1.0000000000000002
56,2,653300695.7830272,285421297.54964477,0.4368911580716245
57,1,164538362.13311607,164538362.13311607,1.0
58,0,6600623.815363794,0.0,0.0
59,1,195618182.71892148,194590310.7628452,0.9947455193490208
60,2,167150850.52070946,167150850.52070946,1.0
61,0,7242111.884674675,0.0,0.0
62,0,4940550.338760961,0.0,0.0
63,0,9317039.059381621,0.0,0.0
64,1,711248553.5790546,711050366.3231614,0.9997213530278607
65,1,35881248.069961175,35746327.39849404,0.9962397999310374
66,1,91582646.49424215,3901577.929915117,0.04260171636512395
67,2,265570256.92745852,260021386.8095027,0.9791058299142605
68,0,359437660.927798,0.0,0.0
69,2,194543825.30790547,194543825.30790544,0.9999999999999999
70,0,903838428.7799695,0.0,0.0
71,1,4872955562.174921,493157874.6138251,0.10120303136803416
72,1,915804823.433296,862274405.0951943,0.9415482240665436
73,1,776807801.6936082,9665139.273457833,0.012442124361245793
74,0,1143964575.0740066,0.0,0.0
75,0,444002886.8709187,0.0,0.0
76,2,289752441.14395064,119059477.91339162,0.4109006897175448
77,1,338198689.30677253,331562527.2447497,0.9803779190403565
78,0,326640766.0236062,0.0,0.0
79,1,250103925.49107146,250103925.49107146,1.0
80,0,91746638.15277979,0.0,0.0
81,0,1076322052.9030607,0.0,0.0
82,0,5549711.190939287,0.0,0.0
83,1,311640974.61890507,311640974.618905,0.9999999999999998
84,0,192149379.75193635,0.0,0.0
85,0,332948274.6117775,0.0,0.0
86,1,61281511.98605186,61085132.836521424,0.9967954584806078
87,1,224375504.0357952,191580405.34711522,0.8538383286107377
88,1,100225992.24201556,100225992.24201556,1.0
89,1,63195409.85537338,44953905.03001196,0.7113476300397729
90,1,857509709.4363207,444387551.706084,0.5182303440018187
91,0,6652418.1860894095,0.0,0.0
92,1,697236424.800245,249692122.1670892,0.35811686436006956
93,0,54514882.80789088,0.0,0.0
94,1,111510912.2773193,23019822.972962577,0.20643560798528846
95,1,17296065.86724496,17296065.86724496,1.0
96,1,50896786.579157986,50896786.57915797,0.9999999999999997
97,0,45899810.29316187,0.0,0.0
98,1,6830349184.665056,778717972.5803328,0.11400851574743015
99,1,203549093.02070025,203442516.31558147,0.999476407860447
100,1,261206276.77287528,862313.8654789266,0.003301275436917344
101,1,121342758.7802011,121342758.7802011,1.0
102,1,53475700.83975695,53475700.839756936,0.9999999999999997
103,1,31917018.17275214,31917018.17275214,1.0
104,1,6643640.8100786265,6643640.8100786265,1.0
105,0,452935243.82444435,0.0,0.0
106,0,425130477.2813347,0.0,0.0
107,0,421768298.0438856,0.0,0.0
108,0,2458042724.524292,0.0,0.0
109,0,253854944.04254818,0.0,0.0
110,2,29495152.479255483,29495152.479255486,1.0000000000000002
111,2,29424687.009633478,29424687.00963348,1.0000000000000002
112,1,29249212.546180695,29249212.546180695,1.0
113,0,124163127.24366893,0.0,0.0
114,1,529486322.66581106,17422336.866697297,0.03290422456803199
115,0,4429171.557531793,0.0,0.0
116,0,12930360.121663272,0.0,0.0
117,0,55093220.01154449,0.0,0.0
118,0,3421340.865815291,0.0,0.0
119,0,19577929.68199952,0.0,0.0
120,0,15435506.73202292,0.0,0.0
121,1,77149106.47726175,77149106.47726175,1.0
122,1,555685489.7745341,43891893.88850327,0.07898693540893452
123,1,152793765.4051031,116646866.75872827,0.763426874450418
124,0,421664201.5082249,0.0,0.0
125,1,285582983.1991417,20180484.752824362,0.07066417097671461
126,1,16587058.158381194,16587058.158381198,1.0000000000000002
127,1,23146477.227123745,20790366.281488366,0.8982086594639803
128,0,164195225.470752,0.0,0.0
129,0,22092656.694853596,0.0,0.0
130,1,9360766.293415522,9360766.293415524,1.0000000000000002
131,0,1954404554.797775,0.0,0.0
132,1,17962215.516143948,17962215.516143948,1.0
133,2,89458513.36315617,79062240.11945868,0.883786653132789
134,1,55028713.648979865,7787334.82052376,0.14151402611731093
135,0,69995314.06847155,0.0,0.0
