cluster_id,lat,lon,count,type,polygon,distance_to_coast,inside_china_land,land_overlap_action,terminal_overlap_action
0,35.28385725721925,119.6703211425611,195,anchorage,"POLYGON ((119.775231 35.19497, 119.724273 35.209321, 119.627751 35.246768, 119.591825 35.264595, 119.591755 35.265841, 119.640191 35.348454, 119.650422 35.364477, 119.657818 35.372156, 119.659518 35.372097, 119.729264 35.333468, 119.753794 35.306487, 119.767205 35.279625, 119.777367 35.196351, 119.776761 35.195183, 119.775231 35.19497))",18592.434685943936,False,unchanged,unchanged
1,39.1558384550078,119.15324068079876,433,anchorage,"POLYGON ((119.087451 39.097504, 119.08174 39.175745, 119.134137 39.203984, 119.297612 39.209179, 119.330264 39.194001, 119.35241 39.179019, 119.352422 39.17816, 119.351717 39.177497, 119.297876 39.152945, 119.159667 39.107184, 119.090529 39.095353, 119.08908 39.095666, 119.087451 39.097504))",14821.75266691401,False,unchanged,unchanged
9,38.92190839745958,118.2802219545184,1038,anchorage,"POLYGON ((117.971299 38.900345, 117.95061 38.966049, 117.955896 38.974579, 117.974341 38.990739, 118.064265 39.003776, 118.417083 39.008525, 118.449925 39.006374, 118.44987 39.006195, 118.449869 39.006192, 118.449869 39.006189, 118.449869 39.006186, 118.450209 38.998073, 118.45023 38.992233, 118.44977 38.990062, 118.449769 38.990059, 118.449769 38.990056, 118.449769 38.990052, 118.44977 38.990049, 118.450242 38.988343, 118.450243 38.98834, 118.450245 38.988337, 118.450246 38.988334, 118.450249 38.988331, 118.450251 38.988328, 118.450399 38.988182, 118.450021 38.984792, 118.450021 38.984788, 118.450208 38.978589, 118.450208 38.978588, 118.45036 38.9749, 118.450079 38.974405, 118.450077 38.974402, 118.450076 38.974398, 118.450075 38.974395, 118.450075 38.974391, 118.45007 38.96959, 118.45007 38.969589, 118.450342 38.959247, 118.450342 38.959244, 118.450343 38.95924, 118.450344 38.959237, 118.450346 38.959233, 118.450348 38.95923, 118.450356 38.959219, 118.450113 38.958685, 118.450112 38.958681, 118.450111 38.958678, 118.45011 38.958674, 118.45011 38.958671, 118.450111 38.958667, 118.450493 38.956898, 118.45016 38.952372, 118.449237 38.951182, 118.449235 38.951179, 118.449233 38.951176, 118.449232 38.951172, 118.449231 38.951169, 118.44898 38.949836, 118.44898 38.949833, 118.44898 38.94983, 118.44898 38.949827, 118.448981 38.949823, 118.449275 38.948756, 118.442734 38.948658, 118.442729 38.948658, 118.442725 38.948658, 118.44272 38.948657, 118.441045 38.948232, 118.441041 38.94823, 118.441037 38.948229, 118.441033 38.948227, 118.44103 38.948225, 118.439693 38.947331, 118.43969 38.947329, 118.439687 38.947326, 118.439685 38.947323, 118.439682 38.94732, 118.439681 38.947317, 118.43874 38.945413, 118.438739 38.94541, 118.438738 38.945407, 118.438737 38.945403, 118.438737 38.9454, 118.438884 38.941297, 118.438884 38.941294, 118.438885 38.94129, 118.438886 38.941287, 118.439416 38.940024, 118.439417 38.940021, 118.439419 38.940018, 118.439421 38.940015, 118.439424 38.940012, 118.440521 38.938994, 118.440524 38.938992, 118.440527 38.93899, 118.440531 38.938988, 118.440534 38.938986, 118.440538 38.938985, 118.442885 38.938224, 118.442889 38.938223, 118.442893 38.938222, 118.442897 38.938221, 118.442901 38.938221, 118.449457 38.938142, 118.449461 38.938142, 118.449465 38.938143, 118.449469 38.938143, 118.449473 38.938144, 118.452545 38.939049, 118.452549 38.939051, 118.452553 38.939052, 118.452557 38.939054, 118.452561 38.939057, 118.452564 38.93906, 118.454053 38.940467, 118.454056 38.940469, 118.454058 38.940472, 118.45406 38.940475, 118.454061 38.940479, 118.454062 38.940482, 118.45449 38.942143, 118.454491 38.942146, 118.454491 38.942149, 118.454491 38.942152, 118.454232 38.945324, 118.454883 38.944647, 118.454885 38.944645, 118.454888 38.944642, 118.454891 38.94464, 118.454894 38.944639, 118.45903 38.942535, 118.460093 38.941425, 118.460096 38.941422, 118.460099 38.94142, 118.460102 38.941418, 118.460106 38.941416, 118.461607 38.940726, 118.461611 38.940725, 118.461615 38.940724, 118.461619 38.940723, 118.461623 38.940722, 118.461628 38.940722, 118.465601 38.940584, 118.465605 38.940584, 118.465609 38.940584, 118.465613 38.940585, 118.465617 38.940586, 118.465621 38.940587, 118.465625 38.940588, 118.465628 38.94059, 118.468143 38.941914, 118.468146 38.941916, 118.468149 38.941918, 118.468152 38.94192, 118.468155 38.941923, 118.468157 38.941925, 118.468159 38.941928, 118.468898 38.94317, 118.468899 38.943172, 118.468901 38.943175, 118.468901 38.943179, 118.468902 38.943182, 118.469086 38.945083, 118.469086 38.945087, 118.469086 38.945091, 118.469085 38.945095, 118.468397 38.947095, 118.468396 38.947098, 118.468394 38.947101, 118.468392 38.947104, 118.46839 38.947107, 118.468387 38.94711, 118.468384 38.947112, 118.464408 38.949829, 118.464404 38.949831, 118.464399 38.949834, 118.459992 38.951633, 118.460264 38.95845, 118.460264 38.958453, 118.460264 38.958457, 118.460263 38.95846, 118.460261 38.958464, 118.459809 38.959374, 118.460251 38.960228, 118.460253 38.960231, 118.460254 38.960235, 118.460254 38.960239, 118.460255 38.960242, 118.459852 38.96778, 118.460223 38.974378, 118.460223 38.974382, 118.460222 38.974385, 118.460221 38.974388, 118.46022 38.974392, 118.460218 38.974395, 118.459873 38.974964, 118.460208 38.975901, 118.460209 38.975904, 118.46021 38.975907, 118.46021 38.97591, 118.46021 38.975914, 118.459914 38.978069, 118.46031 38.979519, 118.460311 38.979523, 118.460311 38.979526, 118.460317 38.986796, 118.460317 38.9868, 118.460316 38.986804, 118.460314 38.986808, 118.459606 38.988368, 118.460339 38.990738, 118.46034 38.990741, 118.46034 38.990744, 118.46034 38.990747, 118.46034 38.99075, 118.460339 38.990753, 118.459992 38.992014, 118.460109 39.000531, 118.465905 38.992815, 118.464602 38.992208, 118.464598 38.992206, 118.464595 38.992204, 118.464592 38.992202, 118.464589 38.992199, 118.464586 38.992196, 118.464584 38.992193, 118.46329 38.990067, 118.463289 38.990064, 118.463288 38.990061, 118.463287 38.990058, 118.463286 38.990055, 118.463286 38.990052, 118.463346 38.972114, 118.463346 38.972111, 118.463346 38.972108, 118.463347 38.972104, 118.463349 38.972101, 118.463351 38.972098, 118.464501 38.970364, 118.464361 38.960712, 118.464362 38.960709, 118.464362 38.960705, 118.464363 38.960702, 118.465083 38.958772, 118.465084 38.958768, 118.465086 38.958765, 118.465089 38.958762, 118.465092 38.958759, 118.465095 38.958756, 118.466673 38.957605, 118.466676 38.957603, 118.46668 38.957601, 118.466683 38.957599, 118.466687 38.957598, 118.466692 38.957597, 118.468778 38.957153, 118.468781 38.957152, 118.468785 38.957152, 118.468789 38.957151, 118.473248 38.957077, 118.473138 38.94811, 118.473138 38.948106, 118.473139 38.948103, 118.47314 38.9481, 118.473865 38.946168, 118.473867 38.946164, 118.473869 38.946161, 118.473871 38.946158, 118.473874 38.946155, 118.473878 38.946152, 118.475461 38.945003, 118.475464 38.945, 118.475468 38.944998, 118.475472 38.944997, 118.475476 38.944995, 118.47548 38.944994, 118.477571 38.944555, 118.477574 38.944554, 118.477578 38.944554, 118.477582 38.944554, 118.484446 38.944456, 118.485305 38.943728, 118.485308 38.943726, 118.485311 38.943724, 118.485314 38.943722, 118.485318 38.94372, 118.485322 38.943719, 118.485786 38.943584, 118.48135 38.943641, 118.481345 38.943641, 118.48134 38.94364, 118.479621 38.943375, 118.479617 38.943374, 118.479613 38.943373, 118.479609 38.943371, 118.479605 38.943369, 118.478148 38.942612, 118.478145 38.94261, 118.478141 38.942608, 118.478138 38.942605, 118.478136 38.942602, 118.477162 38.941469, 118.47716 38.941466, 118.477158 38.941463, 118.477156 38.94146, 118.477155 38.941456, 118.476813 38.94012, 118.476813 38.940116, 118.476813 38.940112, 118.476895 38.936325, 118.476895 38.936322, 118.476896 38.936319, 118.476897 38.936316, 118.476899 38.936313, 118.4769 38.93631, 118.478079 38.934549, 118.478081 38.934546, 118.478084 38.934543, 118.478087 38.934541, 118.47809 38.934539, 118.478093 38.934536, 118.478097 38.934535, 118.480319 38.933558, 118.480322 38.933556, 118.480326 38.933555, 118.48033 38.933554, 118.480334 38.933554, 118.480339 38.933553, 118.482109 38.933482, 118.482628 38.933116, 118.460302 38.886132, 118.452564 38.870898, 118.448922 38.868713, 118.117935 38.836155, 118.033769 38.863058, 117.971299 38.900345))",16425.54363229834,False,land_area_clipped,terminal_area_clipped
10,38.90258276375318,118.66703464927332,480,anchorage,"POLYGON ((118.587298 38.851081, 118.570008 38.85571, 118.55827 38.859641, 118.551864 38.867169, 118.552398 38.875901, 118.557313 38.902216, 118.640849 38.939953, 118.652375 38.942985, 118.711019 38.948586, 118.798306 38.925971, 118.822627 38.882658, 118.802214 38.849743, 118.801185 38.849257, 118.707209 38.837178, 118.61672 38.846082, 118.587298 38.851081))",12833.871472837911,False,unchanged,unchanged
11,39.541923669659106,121.05515434469503,14,anchorage,"POLYGON ((121.040121 39.515323, 121.034101 39.570465, 121.034487 39.571383, 121.035608 39.571813, 121.036791 39.571498, 121.066361 39.551075, 121.066894 39.550249, 121.069649 39.52178, 121.068775 39.521229, 121.042255 39.514247, 121.040848 39.514384, 121.040121 39.515323))",18826.948470841646,False,unchanged,unchanged
13,39.83556069863435,119.7798429154095,127,anchorage,"POLYGON ((119.794545 39.768253, 119.724449 39.864555, 119.717015 39.877821, 119.721057 39.884697, 119.722427 39.884828, 119.881806 39.844641, 119.882678 39.844113, 119.882868 39.843155, 119.865407 39.790701, 119.815681 39.761728, 119.814072 39.761576, 119.794545 39.768253))",16474.545976781705,False,unchanged,unchanged
14,39.34562173836981,121.19087987180477,155,anchorage,"POLYGON ((121.095936 39.357067, 121.09525 39.357843, 121.095458 39.358769, 121.11252 39.370516, 121.113634 39.37083, 121.291513 39.354242, 121.292816 39.353474, 121.292366 39.352047, 121.254644 39.327397, 121.175636 39.319952, 121.165758 39.321171, 121.095936 39.357067))",10093.932414675513,False,unchanged,unchanged
18,39.811793333111495,119.62615042335098,71,anchorage,"POLYGON ((119.59603 39.762493, 119.592405 39.788141, 119.595852 39.815305, 119.599056 39.827985, 119.608892 39.857327, 119.610096 39.858115, 119.631199 39.861254, 119.632386 39.860703, 119.633436 39.858756, 119.643342 39.8297, 119.649849 39.807668, 119.65992 39.763121, 119.658968 39.762122, 119.61713 39.747871, 119.615356 39.748111, 119.59603 39.762493))",10633.970251853632,False,unchanged,unchanged
22,31.496700118824016,121.41107432200573,198,anchorage,"POLYGON ((121.374564 31.493177, 121.375234 31.493351, 121.375239 31.493352, 121.375243 31.493353, 121.375246 31.493355, 121.37525 31.493358, 121.375253 31.49336, 121.375256 31.493363, 121.379829 31.498239, 121.379831 31.498242, 121.379834 31.498245, 121.379836 31.498249, 121.379837 31.498253, 121.379838 31.498256, 121.380143 31.499783, 121.380143 31.499787, 121.380143 31.499791, 121.380143 31.499795, 121.380142 31.499799, 121.379541 31.501722, 121.37954 31.501726, 121.379538 31.501729, 121.379537 31.501732, 121.379535 31.501734, 121.377446 31.504315, 121.377443 31.504318, 121.377439 31.504321, 121.377435 31.504324, 121.375654 31.505439, 121.37565 31.505441, 121.375646 31.505443, 121.375642 31.505445, 121.375638 31.505446, 121.375633 31.505446, 121.373444 31.505702, 121.373439 31.505703, 121.373434 31.505703, 121.37343 31.505702, 121.373426 31.505701, 121.370341 31.504981, 121.370337 31.50498, 121.370333 31.504978, 121.370329 31.504977, 121.370325 31.504974, 121.370322 31.504972, 121.368716 31.50367, 121.368713 31.503668, 121.36871 31.503665, 121.368708 31.503662, 121.368706 31.503659, 121.368705 31.503656, 121.368514 31.503206, 121.365814 31.538193, 121.366419 31.539353, 121.367729 31.53963, 121.385928 31.536694, 121.394583 31.534657, 121.408711 31.52839, 121.41752 31.523443, 121.476293 31.446154, 121.478842 31.432625, 121.476952 31.432618, 121.476878 31.435122, 121.476877 31.435125, 121.476877 31.435129, 121.476876 31.435132, 121.476874 31.435136, 121.475867 31.437126, 121.475865 31.437129, 121.475863 31.437132, 121.47586 31.437135, 121.475857 31.437138, 121.475854 31.43714, 121.474533 31.438062, 121.474529 31.438064, 121.474526 31.438066, 121.474522 31.438068, 121.474518 31.438069, 121.472889 31.438504, 121.472885 31.438504, 121.47288 31.438505, 121.472876 31.438505, 121.468184 31.438569, 121.468179 31.438569, 121.468175 31.438569, 121.468171 31.438568, 121.468166 31.438567, 121.465739 31.437747, 121.465735 31.437746, 121.465731 31.437744, 121.465728 31.437742, 121.465724 31.437739, 121.465721 31.437736, 121.464588 31.436594, 121.464585 31.436591, 121.464583 31.436588, 121.464581 31.436584, 121.464579 31.436581, 121.464045 31.435155, 121.464044 31.435152, 121.464043 31.435148, 121.464043 31.435144, 121.463967 31.430773, 121.463967 31.430769, 121.463968 31.430766, 121.463969 31.430762, 121.46397 31.430759, 121.464895 31.428725, 121.464897 31.428721, 121.464899 31.428718, 121.464902 31.428714, 121.464905 31.428711, 121.464909 31.428709, 121.466583 31.427573, 121.466587 31.42757, 121.466592 31.427568, 121.466596 31.427567, 121.466601 31.427566, 121.46827 31.427219, 121.468274 31.427218, 121.468279 31.427218, 121.471047 31.427154, 121.470978 31.426468, 121.468113 31.426077, 121.468108 31.426076, 121.468104 31.426075, 121.4681 31.426073, 121.468096 31.426072, 121.468092 31.426069, 121.468089 31.426067, 121.46623 31.424584, 121.466227 31.424581, 121.466224 31.424578, 121.466222 31.424575, 121.46622 31.424572, 121.466218 31.424568, 121.465648 31.423193, 121.465647 31.423189, 121.465646 31.423186, 121.465645 31.423182, 121.465572 31.42212, 121.374564 31.493177), (121.437557 31.475937, 121.437556 31.47594, 121.437553 31.475944, 121.437551 31.475947, 121.437548 31.47595, 121.437545 31.475953, 121.437541 31.475956, 121.43516 31.477475, 121.435157 31.477477, 121.435153 31.477479, 121.435149 31.47748, 121.435145 31.477481, 121.43514 31.477482, 121.435136 31.477483, 121.431243 31.477693, 121.430261 31.479551, 121.430259 31.479555, 121.430256 31.479558, 121.430253 31.479561, 121.43025 31.479564, 121.430247 31.479566, 121.428537 31.480639, 121.428533 31.480641, 121.428529 31.480643, 121.428525 31.480645, 121.428521 31.480646, 121.428517 31.480646, 121.428513 31.480647, 121.421985 31.480982, 121.421981 31.480982, 121.421977 31.480982, 121.421972 31.480981, 121.421968 31.48098, 121.419877 31.48036, 121.419873 31.480359, 121.419869 31.480357, 121.419865 31.480355, 121.419861 31.480352, 121.419858 31.48035, 121.419855 31.480347, 121.418026 31.478245, 121.418024 31.478242, 121.418022 31.478239, 121.41802 31.478235, 121.418019 31.478232, 121.418018 31.478228, 121.418017 31.478224, 121.417853 31.475002, 121.416438 31.47329, 121.416436 31.473286, 121.416434 31.473283, 121.416432 31.473279, 121.416431 31.473275, 121.41643 31.473271, 121.416228 31.471469, 121.416228 31.471465, 121.416228 31.471462, 121.416228 31.471458, 121.416229 31.471455, 121.41623 31.471452, 121.417241 31.469083, 121.417242 31.46908, 121.417244 31.469077, 121.417247 31.469073, 121.41725 31.469071, 121.417253 31.469068, 121.417256 31.469066, 121.419359 31.467728, 121.419362 31.467726, 121.419366 31.467724, 121.41937 31.467723, 121.419375 31.467722, 121.419379 31.467721, 121.421123 31.467501, 121.421127 31.4675, 121.421132 31.4675, 121.421136 31.467501, 121.42114 31.467501, 121.423351 31.467951, 121.424648 31.466534, 121.424651 31.466531, 121.424654 31.466528, 121.424657 31.466526, 121.424661 31.466524, 121.424665 31.466522, 121.426625 31.465764, 121.426629 31.465763, 121.426634 31.465762, 121.426638 31.465761, 121.426643 31.465761, 121.433891 31.46575, 121.433895 31.46575, 121.4339 31.465751, 121.433904 31.465752, 121.436396 31.46642, 121.436401 31.466422, 121.436404 31.466423, 121.436408 31.466425, 121.436412 31.466428, 121.436415 31.46643, 121.436418 31.466433, 121.438052 31.468171, 121.438055 31.468175, 121.438057 31.468178, 121.438059 31.468182, 121.438061 31.468186, 121.438061 31.46819, 121.438062 31.468194, 121.438321 31.473838, 121.438321 31.473842, 121.43832 31.473846, 121.438319 31.47385, 121.437557 31.475937), (121.400918 31.484108, 121.400913 31.484108, 121.400908 31.484107, 121.400904 31.484107, 121.400899 31.484105, 121.398855 31.483434, 121.398851 31.483432, 121.398848 31.483431, 121.398845 31.483429, 121.398842 31.483427, 121.398839 31.483424, 121.397627 31.482337, 121.397625 31.482334, 121.397622 31.482331, 121.39762 31.482327, 121.397618 31.482324, 121.396989 31.480923, 121.396988 31.480919, 121.396987 31.480915, 121.396986 31.480911, 121.396837 31.478263, 121.396837 31.478259, 121.396837 31.478255, 121.396838 31.478251, 121.39684 31.478247, 121.397662 31.476489, 121.397664 31.476486, 121.397666 31.476483, 121.397669 31.476479, 121.397671 31.476477, 121.397675 31.476474, 121.399383 31.475266, 121.399386 31.475264, 121.39939 31.475262, 121.399394 31.475261, 121.399398 31.475259, 121.399402 31.475258, 121.40207 31.474758, 121.402074 31.474757, 121.402079 31.474757, 121.402083 31.474757, 121.40393 31.474859, 121.403935 31.474859, 121.40394 31.47486, 121.403944 31.474862, 121.403948 31.474863, 121.405591 31.475592, 121.405595 31.475594, 121.405599 31.475596, 121.405602 31.475599, 121.406965 31.476788, 121.406968 31.476791, 121.406971 31.476795, 121.406973 31.476798, 121.406975 31.476801, 121.407636 31.478267, 121.407638 31.47827, 121.407639 31.478274, 121.407639 31.478277, 121.407639 31.478281, 121.407585 31.480704, 121.407585 31.480707, 121.407585 31.480711, 121.407584 31.480714, 121.407582 31.480717, 121.406778 31.482418, 121.406776 31.482421, 121.406773 31.482425, 121.40677 31.482428, 121.406767 31.482431, 121.405507 31.483437, 121.405503 31.483439, 121.4055 31.483442, 121.405496 31.483443, 121.405492 31.483445, 121.40388 31.483971, 121.403876 31.483972, 121.403871 31.483973, 121.403867 31.483974, 121.400918 31.484108))",4771.762088776515,False,unchanged,terminal_area_clipped
24,27.931659198432968,121.19757139488304,126,anchorage,"POLYGON ((121.116194 27.898409, 121.115186 27.899558, 121.109416 27.941302, 121.110301 27.942098, 121.153455 27.957844, 121.194447 27.957055, 121.297183 27.922272, 121.332999 27.893167, 121.33714 27.862753, 121.335796 27.861946, 121.317264 27.860788, 121.243704 27.865941, 121.116194 27.898409))",7241.732572295374,False,unchanged,unchanged
