terminal_id,lat,lon,berth_count,dwell_minutes,center_method,polygon
0,36.02856796969697,120.22749515151516,9,56625.850000000006,duration_weighted_berth_medoid,"POLYGON ((120.23611 36.014158, 120.23611 36.032692, 120.205207 36.032692, 120.205207 36.014158, 120.23611 36.014158))"
1,29.96974581818182,121.73142313636363,5,288044.05,duration_weighted_berth_medoid,"POLYGON ((121.74457 29.961105, 121.74457 29.977881, 121.721108 29.977881, 121.721108 29.961105, 121.74457 29.961105))"
2,34.4283146,119.7939092,2,31355.166666666668,duration_weighted_berth_medoid,"POLYGON ((119.80061 34.424167, 119.80061 34.436664, 119.789516 34.436664, 119.789516 34.424167, 119.80061 34.424167))"
3,39.20837098148149,118.99111805555556,12,360005.01666666666,duration_weighted_berth_medoid,"POLYGON ((119.002105 39.1951, 119.002105 39.219761, 118.974092 39.219761, 118.974092 39.1951, 119.002105 39.1951))"
4,39.21045625,119.00892791666666,8,372588.26666666666,duration_weighted_berth_medoid,"POLYGON ((119.024866 39.197501, 119.024866 39.215011, 119.002105 39.215011, 119.002105 39.197501, 119.024866 39.197501))"
5,34.475525634920636,119.78628074603174,1,62845.450000000004,duration_weighted_berth_medoid,"POLYGON ((119.779424 34.469165, 119.79378 34.469165, 119.79378 34.48234, 119.779424 34.48234, 119.779424 34.469165))"
6,34.442998,119.79618388235295,2,42015.816666666666,duration_weighted_berth_medoid,"POLYGON ((119.801293 34.436664, 119.801293 34.449827, 119.790611 34.449827, 119.790611 34.436664, 119.801293 34.436664))"
7,34.590170729166665,119.60588560416666,3,29343.016666666663,duration_weighted_berth_medoid,"POLYGON ((119.600866 34.583567, 119.617002 34.583567, 119.617002 34.594344, 119.600866 34.594344, 119.600866 34.583567))"
8,38.947784999999996,118.45825825,7,131846.51666666666,duration_weighted_berth_medoid,"POLYGON ((118.469045 38.94051, 118.469045 38.959405, 118.450377 38.959405, 118.450377 38.94051, 118.469045 38.94051))"
9,38.96871393442623,118.45514906557376,6,144761.45,duration_weighted_berth_medoid,"POLYGON ((118.460223 38.959405, 118.460223 38.975106, 118.450019 38.975106, 118.450019 38.959405, 118.460223 38.959405))"
10,38.9963995,118.45519483333334,4,47813.733333333344,duration_weighted_berth_medoid,"POLYGON ((118.460296 38.987314, 118.460296 39.008415, 118.44981 39.008415, 118.44981 38.987314, 118.460296 38.987314))"
11,38.97720117857143,118.45511096428572,5,122197.11666666667,duration_weighted_berth_medoid,"POLYGON ((118.460337 38.975106, 118.460337 38.987314, 118.45005 38.987314, 118.45005 38.975106, 118.460337 38.975106))"
12,39.576325,121.262405,2,205416.55,duration_weighted_berth_medoid,"POLYGON ((121.253157 39.57125, 121.269536 39.57125, 121.269536 39.583711, 121.253157 39.583711, 121.253157 39.57125))"
13,39.58503143478261,121.28841873913044,2,191042.55000000002,duration_weighted_berth_medoid,"POLYGON ((121.296517 39.581058, 121.296517 39.594231, 121.282172 39.594231, 121.282172 39.581058, 121.296517 39.581058))"
14,39.214932000000005,119.03197606896552,4,56414.91666666666,duration_weighted_berth_medoid,"POLYGON ((119.041913 39.20973, 119.041913 39.221413, 119.024866 39.221413, 119.024866 39.20973, 119.041913 39.20973))"
15,39.92469474647887,119.67636757746479,11,170443.73333333334,duration_weighted_berth_medoid,"POLYGON ((119.660632 39.909987, 119.682639 39.909987, 119.682639 39.937083, 119.660632 39.937083, 119.660632 39.909987))"
16,38.94346063414634,118.4467070487805,1,44827.4,duration_weighted_berth_medoid,"POLYGON ((118.450377 38.938177, 118.450377 38.948744, 118.438771 38.948744, 118.438771 38.938177, 118.450377 38.938177))"
17,38.97226310810811,117.76098777027026,10,124744.58333333333,duration_weighted_berth_medoid,"POLYGON ((117.777681 38.965971, 117.777681 38.986463, 117.74754 38.986463, 117.74754 38.965971, 117.777681 38.965971))"
18,38.973708499999994,117.7859677962963,7,57026.46666666667,duration_weighted_berth_medoid,"POLYGON ((117.794058 38.963283, 117.794058 38.980318, 117.777681 38.980318, 117.777681 38.963283, 117.794058 38.963283))"
19,38.9839079375,117.78047471875,4,20215.350000000002,duration_weighted_berth_medoid,"POLYGON ((117.789242 38.980318, 117.789242 38.990281, 117.777811 38.990281, 117.777811 38.980318, 117.789242 38.980318))"
20,40.2523666375,122.08205977499999,1,241000.5,duration_weighted_berth_medoid,"POLYGON ((122.092801 40.243145, 122.092801 40.265089, 122.076876 40.265089, 122.076876 40.243145, 122.092801 40.243145))"
21,38.96738914423077,118.47184888461538,1,281037.7666666667,duration_weighted_berth_medoid,"POLYGON ((118.482147 38.96055, 118.482147 38.971551, 118.464406 38.971551, 118.464406 38.96055, 118.482147 38.96055))"
22,29.97054466292135,122.15078051685393,1,67108.95000000001,duration_weighted_berth_medoid,"POLYGON ((122.145367 29.966016, 122.156732 29.966016, 122.156732 29.976061, 122.145367 29.976061, 122.145367 29.966016))"
23,31.024236609375,121.486345109375,1,28667.983333333334,duration_weighted_berth_medoid,"POLYGON ((121.481127 31.019091, 121.491564 31.019091, 121.491564 31.028543, 121.481127 31.028543, 121.481127 31.019091))"
24,31.056826382352938,121.47264359558824,8,139704.48333333334,duration_weighted_berth_medoid,"POLYGON ((121.479503 31.048936, 121.479503 31.077235, 121.462201 31.077235, 121.462201 31.048936, 121.479503 31.048936))"
25,31.04006892,121.47640691999999,4,57890.93333333334,duration_weighted_berth_medoid,"POLYGON ((121.482167 31.029846, 121.482167 31.048936, 121.470449 31.048936, 121.470449 31.029846, 121.482167 31.029846))"
26,26.72602115384615,119.73616476923077,2,67223.65,duration_weighted_berth_medoid,"POLYGON ((119.730135 26.719809, 119.741163 26.719809, 119.741163 26.730552, 119.730135 26.730552, 119.730135 26.719809))"
27,31.133493692307695,121.45783084615384,1,2505.75,duration_weighted_berth_medoid,"POLYGON ((121.452684 31.128185, 121.464867 31.128185, 121.464867 31.137697, 121.452684 31.137697, 121.452684 31.128185))"
28,26.0411542,119.50263850000002,1,31001.216666666667,duration_weighted_berth_medoid,"POLYGON ((119.507965 26.036037, 119.507965 26.04714, 119.497151 26.04714, 119.497151 26.036037, 119.507965 26.036037))"
29,31.49786483435583,121.37119857055215,3,40888.83333333333,duration_weighted_berth_medoid,"POLYGON ((121.365325 31.492733, 121.380101 31.492733, 121.380101 31.505688, 121.365325 31.505688, 121.365325 31.492733))"
