prediction_index,reference_index,overlap_area_m2,relation
104,304,738621.1692182699,部分重叠
104,557,597048.0506596358,预测包含真实
106,743,1477642.4591755366,部分重叠
107,777,864028.6917202603,部分重叠
108,463,59058.42422436462,部分重叠
108,464,161801.222606891,预测包含真实
108,461,55049.089050064475,部分重叠
109,297,1198972.722803805,部分重叠
110,568,185934.72424316918,部分重叠
110,38,642692.9476943914,部分重叠
110,318,1243941.877050745,部分重叠
111,694,1492281.19143563,部分重叠
112,415,1306647.4782096124,部分重叠
113,296,776595.1421672838,部分重叠
114,294,21538.76902673712,部分重叠
115,729,1560445.02108899,部分重叠
116,136,269835.24585106585,部分重叠
116,475,504346.9808325153,预测包含真实
116,747,671741.4993292883,预测包含真实
117,409,1313144.4148463293,部分重叠
118,525,335785.90185108775,预测包含真实
119,598,251774.2039767478,预测包含真实
119,526,69293.84767638578,预测包含真实
119,888,125272.43014153457,部分重叠
120,354,1949670.9905055782,部分重叠
121,350,1086456.8265555557,部分重叠
122,273,702990.2229251937,部分重叠
123,713,1776955.913350896,部分重叠
124,89,458412.8785705499,部分重叠
124,359,482941.1002624318,预测包含真实
124,360,767902.7713173461,部分重叠
125,362,2222.400788267923,部分重叠
125,361,397143.56583987793,部分重叠
125,88,454336.76921234844,预测包含真实
125,133,397970.84621491097,预测包含真实
126,289,1352754.574273145,部分重叠
127,122,901406.0166014609,部分重叠
128,418,1236577.3624651001,部分重叠
129,683,1039846.3045007561,预测包含真实
129,811,238930.37237289382,部分重叠
130,402,834611.7027198706,部分重叠
131,250,929231.9524726111,部分重叠
132,432,788534.5554723974,部分重叠
132,466,32055.772842042035,部分重叠
133,741,667815.5456746039,部分重叠
133,690,3877.8247264995193,部分重叠
134,542,99010.06309783978,部分重叠
134,805,383769.24270567385,预测包含真实
134,539,242554.81982317753,部分重叠
135,916,20297.33743657981,部分重叠
135,915,1260681.8165125127,部分重叠
135,914,148817.9551204307,部分重叠
136,685,1358223.0627941866,部分重叠
137,375,500685.9591583596,部分重叠
137,374,335155.8677189603,预测包含真实
138,888,36905.523254464155,部分重叠
138,754,629710.8630028341,部分重叠
139,346,3162676.2980475994,部分重叠
140,248,1168955.6374379727,部分重叠
140,787,160530.5499676009,部分重叠
141,602,1223255.6482953024,部分重叠
141,753,90278.87021884303,部分重叠
142,528,513042.28566681367,部分重叠
143,665,1493459.8671607547,部分重叠
144,666,4263996.2104236735,部分重叠
145,900,2560752.0369857955,部分重叠
146,745,211599.9191987061,部分重叠
147,352,524978.5945983446,预测包含真实
147,353,238627.85216432728,预测包含真实
148,775,927842.8602041762,部分重叠
149,813,2542951.1250625956,部分重叠
150,412,1955537.805521868,部分重叠
151,892,222103.16232516099,部分重叠
151,891,1134518.8072944875,部分重叠
152,910,112206.33719791393,部分重叠
152,909,530683.0181648394,部分重叠
153,893,1844306.5937222377,部分重叠
154,893,1576822.1925453716,部分重叠
155,246,53.7887303574805,部分重叠
155,357,1266131.2129040426,部分重叠
157,723,542097.484419382,部分重叠
158,228,528002.7412020264,预测包含真实
159,236,167991.84831447963,部分重叠
160,479,857737.2835132043,部分重叠
161,371,310568.1441910325,预测包含真实
161,2,341905.3922928753,预测包含真实
161,98,391725.2576772134,预测包含真实
161,3,343450.0889750382,预测包含真实
162,382,2169923.931722391,真实包含预测
163,386,1250214.467032701,部分重叠
164,220,398770.15563658037,预测包含真实
164,219,13834.597434140112,部分重叠
165,121,181324.8376935459,预测包含真实
165,119,95020.44772064907,预测包含真实
166,786,144984.7702347821,部分重叠
166,249,314998.1709650564,预测包含真实
167,101,1098235.8374073647,预测包含真实
168,57,1746342.6599049245,部分重叠
170,163,285154.9413086448,预测包含真实
171,385,436464.2702168226,部分重叠
171,384,691026.9734993706,预测包含真实
173,286,760838.9645587393,预测包含真实
174,230,914039.0587165095,部分重叠
175,102,852878.6886762695,部分重叠
176,677,234313.60868997924,部分重叠
176,245,224842.83215504518,预测包含真实
176,166,267290.19057721033,预测包含真实
178,877,560222.721617382,部分重叠
178,876,790322.161780172,部分重叠
179,799,439352.7947648276,预测包含真实
179,889,345639.45349168073,预测包含真实
180,498,14138.040224706474,部分重叠
180,861,558268.6571979208,部分重叠
180,860,447736.6449669926,部分重叠
181,214,1110716.4859732767,部分重叠
182,107,1637700.198523732,部分重叠
183,620,3088209.7946507637,部分重叠
184,363,1605232.573057243,部分重叠
185,236,800160.0300055293,部分重叠
186,23,779235.8303385313,部分重叠
186,370,397929.46521983616,部分重叠
187,370,861026.1451625566,部分重叠
187,823,736393.193072152,部分重叠
188,791,1717394.9449589911,部分重叠
189,358,3340786.6248598215,部分重叠
190,362,1035877.7707899107,部分重叠
190,361,1628.1350964009089,部分重叠
191,820,1421558.0224215512,部分重叠
192,247,1051777.31538706,部分重叠
192,675,1189339.8569599402,部分重叠
192,246,15408.423941652389,部分重叠
193,182,245700.32800521553,预测包含真实
194,863,651446.7577216437,部分重叠
195,172,343828.5840850007,部分重叠
195,173,571807.682515317,预测包含真实
195,368,371150.54878715426,预测包含真实
196,252,614849.2164560347,预测包含真实
196,251,187452.04402052643,预测包含真实
197,387,126414.60994228887,部分重叠
197,84,382043.7217254281,预测包含真实
197,138,129795.51302447534,预测包含真实
198,298,270114.19985779055,部分重叠
198,560,805980.6778763906,部分重叠
198,299,310438.32503863826,预测包含真实
198,561,295950.66203548,部分重叠
198,558,299014.48728129134,部分重叠
199,601,178232.17630452875,部分重叠
199,659,938214.1107595678,部分重叠
200,750,550356.66319747,预测包含真实
200,573,794447.2493181797,预测包含真实
201,686,2483520.4463275652,部分重叠
203,686,1171152.677540353,部分重叠
204,369,327442.4950853496,部分重叠
204,172,153521.94289232363,部分重叠
204,115,311425.45989460207,部分重叠
205,771,2074021.0593155,部分重叠
206,168,332858.90548148943,预测包含真实
206,169,70386.65321507874,部分重叠
207,124,978037.5330467953,部分重叠
209,726,519275.09176334145,部分重叠
210,695,303023.03617635247,部分重叠
210,66,72269.29220217158,部分重叠
211,71,1354898.7944144595,真实包含预测
212,323,1450411.700859102,部分重叠
213,685,1425561.4897129894,部分重叠
214,80,282533.8177784829,预测包含真实
216,94,968893.5985567493,部分重叠
216,95,628947.1776294811,部分重叠
217,334,636161.6771491411,部分重叠
218,348,424339.4987430256,部分重叠
219,896,1571811.8540447166,部分重叠
220,334,1895870.5908272655,部分重叠
223,859,277827.8606405432,部分重叠
223,858,2728.8605260995955,部分重叠
224,223,83306.96241287501,预测包含真实
224,224,105194.95616673373,预测包含真实
224,222,220096.5504125928,预测包含真实
229,320,690449.8342690167,部分重叠
230,855,650996.1499767769,预测包含真实
233,418,1398191.8911901792,部分重叠
234,156,579426.7479760875,预测包含真实
235,663,4145335.829922525,部分重叠
236,292,513925.8474866467,部分重叠
237,920,3632995.019701262,部分重叠
237,919,49432.75564750699,部分重叠
238,66,763521.3480324976,部分重叠
239,155,402884.5192309016,预测包含真实
239,53,41264.63688577736,部分重叠
240,53,535992.4933774554,部分重叠
243,569,276979.74287345796,预测包含真实
244,254,727536.0227853891,部分重叠
245,242,557753.189107674,部分重叠
245,110,388714.78116670914,部分重叠
245,793,711641.4484217215,部分重叠
246,226,241494.5592200346,预测包含真实
249,873,624915.0603666699,部分重叠
250,519,2935.762004526716,部分重叠
250,521,601962.0807414312,部分重叠
250,819,217781.3150127666,部分重叠
251,689,726.7261612310757,部分重叠
251,688,1630983.8470913982,部分重叠
252,631,1247931.7416805816,预测包含真实
252,490,1079533.0316729,部分重叠
253,436,1405354.4537786243,部分重叠
256,720,1205799.5809613853,部分重叠
257,769,1374163.646471964,部分重叠
258,152,278176.70608645934,部分重叠
258,150,651595.8619752213,部分重叠
258,151,212319.2219584187,部分重叠
