port_id,lat,lon,berth_count,polygon
0,36.026321841944494,120.22511600343765,4,"POLYGON ((120.21476891480748 36.020344044343055, 120.21476891480748 36.02825498746557, 120.21723157742555 36.030769474697564, 120.22271823607939 36.03237135321249, 120.23245573431531 36.03237135321249, 120.23569522347938 36.03015389136105, 120.23569522347938 36.02262507701101, 120.2245757986428 36.020344044343055, 120.21476891480748 36.020344044343055))"
1,29.969905752671618,121.73281592065234,4,"POLYGON ((121.72145509024604 29.961492436938364, 121.72145509024604 29.96952421190766, 121.72549389976989 29.974507813211336, 121.73234685215083 29.977931360203446, 121.74425265334364 29.977931360203446, 121.74425265334364 29.96800443196993, 121.7309540764206 29.961492436938364, 121.72145509024604 29.961492436938364))"
2,39.20670248323547,118.99850173827089,16,"POLYGON ((118.97607860322007 39.19544144936188, 118.97454075691275 39.19653091923286, 118.9742810985794 39.20136712968846, 118.9742810985794 39.21032855264059, 118.98968191270984 39.219471187451866, 119.00342325419838 39.219471187451866, 119.0248499514206 39.21184184683128, 119.0248499514206 39.20357014787718, 119.0189430112032 39.19782289426784, 118.9927260164206 39.19544144936188, 118.97607860322007 39.19544144936188))"
3,34.475784192267966,119.78656495495497,1,"POLYGON ((119.77979709024606 34.469535770903576, 119.77979709024606 34.48203261363237, 119.79333281966385 34.48203261363237, 119.79333281966385 34.469535770903576, 119.77979709024606 34.469535770903576))"
4,34.58894616444862,119.60896990431002,3,"POLYGON ((119.6075750235794 34.58385298373424, 119.60126251129869 34.58642846500781, 119.60126251129869 34.59401781793521, 119.6105533264206 34.59401781793521, 119.61665482642059 34.59147780279674, 119.61665482642059 34.58385298373424, 119.6075750235794 34.58385298373424))"
5,38.96501269742082,118.4577426787383,17,"POLYGON ((118.45897598240292 38.94078009435083, 118.44939292357941 38.94614305544165, 118.44939292357941 38.95330045541301, 118.45025075691271 38.994086345444124, 118.4598558264206 38.994086345444124, 118.46869744966003 38.94849609020476, 118.46869744966003 38.94078009435083, 118.45897598240292 38.94078009435083))"
6,39.57731496337032,121.26120262354303,2,"POLYGON ((121.25440610050245 39.57153784552772, 121.25353049857941 39.576457141210184, 121.25353049857941 39.583422851423585, 121.26258402803349 39.583422851423585, 121.26916290975393 39.58117399995327, 121.26916290975393 39.57153784552772, 121.25440610050245 39.57153784552772))"
7,39.586972465520255,121.28954728663305,2,"POLYGON ((121.2826187331032 39.58041133947309, 121.2826187331032 39.59156389851349, 121.28514499500795 39.59388664633177, 121.29416444700881 39.59388664633177, 121.29650880913006 39.59156389851349, 121.29640222566393 39.58041133947309, 121.2826187331032 39.58041133947309))"
8,39.215608482868426,119.03320440210514,4,"POLYGON ((119.02482579394977 39.210075974237725, 119.02482579394977 39.21709610428076, 119.02689939918918 39.21854567529017, 119.03152609024608 39.22112366655462, 119.04153919546822 39.22112366655462, 119.04153919546822 39.213648790194426, 119.0390085764206 39.21229797324671, 119.03414446772494 39.210075974237725, 119.02482579394977 39.210075974237725))"
9,39.92421818495681,119.67254897844195,10,"POLYGON ((119.6721231982273 39.910329575214234, 119.66107881246826 39.92519923988774, 119.66107881246826 39.933258194589854, 119.66664888010112 39.936763518197665, 119.6759943541984 39.936763518197665, 119.6809165014206 39.93083616646176, 119.68219157642059 39.92109538061171, 119.68219157642059 39.910329575214234, 119.6721231982273 39.910329575214234))"
