cluster_id,lat,lon,count,type,polygon,distance_to_coast
18,35.23369704836858,119.60710973551775,1003,anchorage,GEOMETRYCOLLECTION EMPTY,17421.90634931893
20,39.160437327064514,119.10819989978309,1432,anchorage,GEOMETRYCOLLECTION EMPTY,10688.46095113521
23,30.138953234262758,122.20546523872939,3227,anchorage,GEOMETRYCOLLECTION EMPTY,4856.835836047662
28,38.32478734876004,117.87570250618995,771,anchorage,GEOMETRYCOLLECTION EMPTY,8566.653977851009
31,36.77172175105457,122.48729171704213,650,anchorage,GEOMETRYCOLLECTION EMPTY,14361.486642582939
35,39.873652144606375,119.70842083428433,697,anchorage,GEOMETRYCOLLECTION EMPTY,8877.348417139838
39,26.24006870886503,119.85510956772414,400,anchorage,GEOMETRYCOLLECTION EMPTY,8346.845064596248
43,26.461679564484637,119.93669359898819,909,anchorage,GEOMETRYCOLLECTION EMPTY,9620.068165439718
44,26.46924487940352,120.03092138327146,190,anchorage,GEOMETRYCOLLECTION EMPTY,15047.813097857963
45,31.496869665951706,121.4305208946416,2567,anchorage,GEOMETRYCOLLECTION EMPTY,5773.539151897666
46,27.994663367786107,121.18889965791453,515,anchorage,GEOMETRYCOLLECTION EMPTY,6189.7772222851145
52,24.37736356902898,118.11528475231883,366,anchorage,GEOMETRYCOLLECTION EMPTY,5177.892840403101
55,35.03869531954055,119.28323628854793,32,anchorage,GEOMETRYCOLLECTION EMPTY,4980.13283789385
56,25.086834025493737,119.04914945644477,225,anchorage,GEOMETRYCOLLECTION EMPTY,4689.495644190659
59,23.27481578437391,116.87009448241346,289,anchorage,GEOMETRYCOLLECTION EMPTY,8647.244841948419
64,21.057836892428142,110.73039207631982,319,anchorage,GEOMETRYCOLLECTION EMPTY,17309.788703876377
65,23.18491202767903,116.97514414329439,13,anchorage,GEOMETRYCOLLECTION EMPTY,19948.941626220694
69,35.47192475697276,119.88378091683535,270,anchorage,GEOMETRYCOLLECTION EMPTY,18543.16501327326
74,21.49049333131545,108.441153665807,687,anchorage,GEOMETRYCOLLECTION EMPTY,8150.077796430463
77,25.960596737723776,119.8038426694008,130,anchorage,GEOMETRYCOLLECTION EMPTY,11688.661709693717
79,33.274944788724106,120.86943314748022,92,anchorage,GEOMETRYCOLLECTION EMPTY,13285.959704704675
83,25.776818290235358,119.8306613362247,137,anchorage,GEOMETRYCOLLECTION EMPTY,15523.302244102586
84,36.594849891385074,121.25422697601999,31,anchorage,GEOMETRYCOLLECTION EMPTY,13171.460101733834
85,40.745424908153396,121.04181346680538,401,anchorage,GEOMETRYCOLLECTION EMPTY,4106.060841615063
88,37.3698951336559,118.99616540782696,54,anchorage,GEOMETRYCOLLECTION EMPTY,5610.7298717434205
89,33.85382290874142,120.5335536516195,86,anchorage,GEOMETRYCOLLECTION EMPTY,10771.588888938855
94,34.31633895819716,120.33091127357606,41,anchorage,GEOMETRYCOLLECTION EMPTY,8090.194536157513
96,38.892501170627625,121.99942644884847,91,anchorage,GEOMETRYCOLLECTION EMPTY,15972.847158881988
101,40.033653687751965,120.0677834300225,116,anchorage,GEOMETRYCOLLECTION EMPTY,7339.581989756907
102,29.07215461946217,121.68474562790487,301,anchorage,GEOMETRYCOLLECTION EMPTY,4919.623205470335
110,21.3693420330983,111.1633191644446,34,anchorage,GEOMETRYCOLLECTION EMPTY,11740.962509651521
119,39.82776079893545,124.15767143649691,71,anchorage,GEOMETRYCOLLECTION EMPTY,3107.887661218007
122,37.526167281159,122.20403370196884,220,anchorage,GEOMETRYCOLLECTION EMPTY,5774.547935383024
124,22.718353317153184,115.63482225313324,327,anchorage,GEOMETRYCOLLECTION EMPTY,5474.1007811683985
125,22.074186365721044,113.90219099197674,129,anchorage,GEOMETRYCOLLECTION EMPTY,17014.7570058147
127,32.07072770950309,121.6974055302879,12,anchorage,GEOMETRYCOLLECTION EMPTY,3833.122175604906
131,21.420240527187712,108.1338589919426,3,anchorage,GEOMETRYCOLLECTION EMPTY,9818.872869376546
