terminal_id,reference_pid,reference_name,center_distance_m,predicted_area_m2,reference_area_m2,area_ratio_predicted_to_reference,intersection_area_m2,iou,predicted_area_precision,reference_area_recall
0,"1,840",青岛前港散货码头,327.53236172480695,4790453.7795444885,4460970.320687552,1.0738591461433786,1943376.020644901,0.26592271964837566,0.4056768126942854,0.4356397556900527
2,"2,015",陈家港码头,277.39959847854743,1524961.5324907505,583794.2057354134,2.612155991801488,583794.2057354134,0.38282552923278684,0.3828255292327869,1.0
5,"1,748",连云港燕尾,168.13668804931623,2234030.742431398,854612.4829552807,2.6140862519419787,850241.4592477222,0.3798430970300354,0.3805862842882661,0.9948853734356379
6,"1,823",响水小蟒牛作业区（一期）,145.16355331506668,1649635.7655651148,517478.9856893501,3.187831411873823,517478.9856893501,0.3136928748098994,0.3136928748098994,1.0
8,"1,928",国投煤码头,661.9542525121469,3421427.9104262902,2272103.735630203,1.5058414177015138,1965951.7745406285,0.527407015356897,0.5745997945915167,0.8652561692986881
9,"1,927",秦港码头,486.4874719735761,2736360.458457732,976087.8767830608,2.803395599457792,880595.300169055,0.31096080526182646,0.3218126096827814,0.9021680538347374
10,"1,925",弘毅码头,791.4377581143531,3162082.943207265,1454475.98342194,2.174035858445627,1264639.801891744,0.3772882801851006,0.39993884556647147,0.8694813914468569
11,"1,926",华电煤码头,1135.4772569467323,2352411.641781879,969043.7444272398,2.427559803476456,861106.4627056157,0.34999363483753837,0.36605262761467805,0.8886146447543282
14,"1,985",京唐港码头,389.84594898496306,1889866.5477540903,154085215.56765884,0.012265073847557099,1889866.5477540903,0.012265073847557099,1.0,0.012265073847557099
15,"1,949",秦皇岛9公司,615.5487887332569,4946099.092629844,1039850.1445511259,4.756549891874022,1039850.144551126,0.21023641562309198,0.21023641562309198,1.0000000000000002
16,"1,924",华能煤码头,321.3346737060701,2095431.9629250884,1503259.9418955664,1.3939252317751583,1101612.001512283,0.4411600926557302,0.5257207205976296,0.7328153773080541
17,"1,894",天津南疆石油化工码头,36.277846188814564,5779567.08597625,857431.0976430661,6.7405615470016285,857431.0976430661,0.1483555921902123,0.1483555921902123,1.0
18,"1,896",华能煤码头,870.8901221800336,3846131.075909367,1142302.882294706,3.366997611161671,1029566.951980976,0.2600660619218983,0.26768899230444154,0.9013081976233297
19,"1,094",天津港集装箱码头,742.1113911930682,1885846.7431492193,4021138.398645458,0.46898329681576667,1099959.049463098,0.2288231909574634,0.5832706467049654,0.27354419082755893
20,"1,914",鲅鱼圈钢产品码头,772.616924254794,6240378.2275246065,3900713.1400869144,1.5998044468826438,3900713.1400869144,0.6250763972737955,0.6250763972737955,1.0
21,"1,877",首钢京唐码头,283.2297634960797,4186435.2673878907,1060592.47187569,3.9472609681870106,1060592.47187569,0.2533402296071909,0.25334022960719094,1.0
22,"1,555",中化兴中石油中转码头,1975.8339631482183,1166948.31298402,12210799.742174063,0.09556690287480314,185929.44305076866,0.014094299544122335,0.15932963009760548,0.015226639284616176
23,"1,364",氯碱码头,60.08721858098127,967932.2096244683,193049.71605244197,5.013901234444341,193049.716052442,0.19944549229056044,0.1994454922905604,1.0000000000000002
24,"1,818",吴泾电厂,513.5676063633481,3790079.0107369614,888873.5698920729,4.263912370796617,888873.5698920729,0.2345263957226148,0.23452639572261477,1.0
25,"1,092",上海通用码头,300.4261344286214,2519183.358608544,1434979.104750841,1.7555540357822534,1186998.9657771152,0.4289587394507848,0.47118402942799176,0.827189024458455
26,"1,530",宁德升港码头,156.39153471138405,1109330.2535106316,952163.5554588492,1.1650627112860286,883459.025936214,0.7499430735495233,0.7963895540939082,0.92784377313252
28,"1,248",松门码头,65.3471576673449,1194562.7984920007,252731.37664468717,4.726610578992042,252731.3766446872,0.21156809584538525,0.21156809584538525,1.0000000000000002
29,"2,123",罗泾杂货码头,902.1956312992655,1792108.867542179,3679925.0132899815,0.4869960287424366,1511299.226073374,0.38157043018712744,0.8433077105109543,0.41068750602671106
30,"1,891",天津北疆一公司杂货码头,118.45069660162095,2001970.6573682202,496752.82037119876,4.03011432501228,494572.58612034627,0.24677412673294327,0.2470428746295956,0.995611027936946
31,"1,537",金洋集装箱码头,277.6095748999538,1496668.250672593,591233.7815320604,2.5314322310783495,511333.31900733843,0.32433303713755907,0.3416477357474167,0.8648580899459494
32,"1,701",张家港华达码头,91.98089781148089,1212666.4809757639,1070984.4342801122,1.1322914154124815,727912.6750333123,0.4678889135804601,0.6002579327892383,0.6796669043304968
33,"1,535",温州龙湾码头,324.12724785024113,2150449.9419829743,685554.1997142083,3.136805146667393,685526.1989800296,0.3187785307455233,0.3187826815200784,0.9999591560606144
34,"1,588",上海干散码头,140.54357273245634,925930.4274196329,233581.56144980981,3.964056159538045,233581.56144980981,0.2522668599418975,0.2522668599418975,1.0
35,"1,909",航兴岛杂货码头,668.2941538582842,2125484.1631810633,3050483.8163224943,0.6967695261348533,987715.5418718726,0.2358299927189662,0.46470143555133714,0.32378979904329125
36,"1,067",江苏长宏国际码头,666.4827015391905,4843988.894516073,2205171.7013636003,2.1966493092219177,1229601.50978728,0.21128774389898142,0.25384069546057875,0.5575989883358915
37,"2,088",江阴港（中信中煤江阴码头有限公司）,219.45633242169396,1950429.686861448,671728.5251277237,2.9035981261784136,633086.0895051926,0.3182821187572557,0.3245880093857313,0.9424731358323907
38,"2,125",华能上海石洞口电厂,726.3622571143159,1007758.2134941439,2190828.71438664,0.45998950391531773,631713.6566942998,0.24610239382885593,0.6268504173277777,0.28834461249571436
39,"1,878",首钢码头,460.8475344326708,5105680.217770667,1875690.8520351239,2.722026506783357,1772217.975229245,0.3402123038146778,0.34710712376010544,0.9448347915683382
40,"1,801",新泰港务码头,507.3771729567526,2154477.0749504236,807614.0669090635,2.667706226559592,807614.0669090635,0.3748538688570856,0.3748538688570856,1.0
41,"1,469",干散码头,250.11056307345385,1316716.319465371,547249.6362523156,2.4060615708811257,496199.1576185515,0.3627805253849913,0.37684590847937866,0.9067144585360187
42,"1,257",黄埔冷冻厂码头,604.5194538387897,2310893.4602355,178318.84473868302,12.959333959470149,173362.22600044397,0.07485900213249938,0.07501956666698814,0.9722036179322342
43,"1,207",湛江码头,412.3181875793564,839230.8826694135,1384862.6702194295,0.6060029638436557,673523.4311320914,0.43437147516360536,0.8025484345735203,0.4863467299796395
44,"1,320",揭阳泰都钢厂码头,126.59486594135625,1456537.0960060079,249860.94991518874,5.829390693105128,249860.9499151887,0.17154451513822488,0.17154451513822488,0.9999999999999999
45,"1,308",罗屿港码头,884.9848011676502,960521.7243079576,6928934.886307828,0.13862472949573118,934611.3364483308,0.1343827647639811,0.97302467273367,0.13488528205037736
46,"1,261",龙沙码头,82.43571112759594,1309006.4007006176,223105.93915302653,5.867196568903443,223105.9391530265,0.17043915066695917,0.17043915066695917,0.9999999999999999
47,"1,836",董家口华能码头,271.2797278642348,6845402.6706190035,1481226.9204832944,4.621440898728391,1478900.778282688,0.21596953073171396,0.2160429195246971,0.9984295841721217
